,Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status
0,CONV-0001,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,92 minutes,software,Pending
1,CONV-0002,software installation failure,Reinstall the printer drivers.,76 minutes,account,Pending
2,CONV-0003,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,50 minutes,network,Resolved
3,CONV-0004,forgot password,Reset your password using the link provided.,97 minutes,performance,Pending
4,CONV-0005,software installation failure,Follow the software installation guide.,110 minutes,performance,Pending
5,CONV-0006,unable to access email,Follow the software installation guide.,22 minutes,performance,Resolved after follow-up
6,CONV-0007,unable to access email,Run a system diagnostic tool.,12 minutes,hardware,Resolved after follow-up
7,CONV-0008,unable to access email,Reinstall the printer drivers.,10 minutes,hardware,Escalated
8,CONV-0009,blue screen error,Run a system diagnostic tool.,120 minutes,software,Pending
9,CONV-0010,printer not responding,Reinstall the printer drivers.,94 minutes,hardware,Pending
10,CONV-0011,software installation failure,Verify your email settings.,45 minutes,account,Escalated
11,CONV-0012,blue screen error,Reset your password using the link provided.,9 minutes,network,Resolved
12,CONV-0013,slow system performance,Clear cache and remove unnecessary programs.,79 minutes,account,Pending
13,CONV-0014,blue screen error,Restart your router.,76 minutes,software,Resolved after follow-up
14,CONV-0015,blue screen error,Reset your password using the link provided.,35 minutes,software,Escalated
15,CONV-0016,slow system performance,Restart your router.,48 minutes,hardware,Resolved
16,CONV-0017,forgot password,Reinstall the printer drivers.,69 minutes,network,Resolved after follow-up
17,CONV-0018,unable to access email,Run a system diagnostic tool.,91 minutes,software,Resolved after follow-up
18,CONV-0019,printer not responding,Restart your router.,30 minutes,account,Resolved after follow-up
19,CONV-0020,software installation failure,Reset your password using the link provided.,97 minutes,performance,Escalated
20,CONV-0021,unable to access email,Verify your email settings.,99 minutes,software,Resolved after follow-up
21,CONV-0022,cannot connect to wi-fi,Verify your email settings.,15 minutes,network,Escalated
22,CONV-0023,forgot password,Run a system diagnostic tool.,93 minutes,hardware,Pending
23,CONV-0024,printer not responding,Run a system diagnostic tool.,54 minutes,account,Resolved after follow-up
24,CONV-0025,blue screen error,Clear cache and remove unnecessary programs.,58 minutes,network,Pending
25,CONV-0026,slow system performance,Run a system diagnostic tool.,99 minutes,performance,Resolved
26,CONV-0027,software installation failure,Follow the software installation guide.,13 minutes,software,Pending
27,CONV-0028,forgot password,Restart your router.,60 minutes,software,Resolved after follow-up
28,CONV-0029,unable to access email,Clear cache and remove unnecessary programs.,23 minutes,software,Resolved after follow-up
29,CONV-0030,software installation failure,Restart your router.,87 minutes,hardware,Resolved after follow-up
30,CONV-0031,software installation failure,Follow the software installation guide.,65 minutes,network,Resolved after follow-up
31,CONV-0032,printer not responding,Reinstall the printer drivers.,56 minutes,hardware,Resolved
32,CONV-0033,slow system performance,Reinstall the printer drivers.,48 minutes,hardware,Resolved
33,CONV-0034,slow system performance,Reset your password using the link provided.,5 minutes,performance,Escalated
34,CONV-0035,unable to access email,Follow the software installation guide.,113 minutes,network,Resolved
35,CONV-0036,blue screen error,Reinstall the printer drivers.,52 minutes,hardware,Resolved
36,CONV-0037,blue screen error,Restart your router.,9 minutes,performance,Resolved after follow-up
37,CONV-0038,forgot password,Follow the software installation guide.,37 minutes,software,Resolved
38,CONV-0039,blue screen error,Clear cache and remove unnecessary programs.,86 minutes,network,Escalated
39,CONV-0040,software installation failure,Run a system diagnostic tool.,5 minutes,performance,Pending
40,CONV-0041,cannot connect to wi-fi,Follow the software installation guide.,67 minutes,performance,Resolved
41,CONV-0042,printer not responding,Restart your router.,73 minutes,account,Escalated
42,CONV-0043,slow system performance,Reset your password using the link provided.,66 minutes,software,Resolved
43,CONV-0044,software installation failure,Follow the software installation guide.,58 minutes,hardware,Resolved after follow-up
44,CONV-0045,printer not responding,Reset your password using the link provided.,120 minutes,software,Escalated
45,CONV-0046,forgot password,Clear cache and remove unnecessary programs.,55 minutes,performance,Pending
46,CONV-0047,forgot password,Follow the software installation guide.,120 minutes,software,Resolved
47,CONV-0048,software installation failure,Clear cache and remove unnecessary programs.,66 minutes,network,Pending
48,CONV-0049,slow system performance,Reset your password using the link provided.,25 minutes,hardware,Resolved
49,CONV-0050,software installation failure,Restart your router.,119 minutes,performance,Escalated
50,CONV-0051,unable to access email,Clear cache and remove unnecessary programs.,71 minutes,performance,Escalated
51,CONV-0052,unable to access email,Follow the software installation guide.,58 minutes,software,Resolved
52,CONV-0053,forgot password,Run a system diagnostic tool.,107 minutes,performance,Escalated
53,CONV-0054,slow system performance,Verify your email settings.,91 minutes,software,Escalated
54,CONV-0055,software installation failure,Reinstall the printer drivers.,83 minutes,software,Escalated
55,CONV-0056,printer not responding,Verify your email settings.,73 minutes,performance,Escalated
56,CONV-0057,printer not responding,Run a system diagnostic tool.,51 minutes,hardware,Resolved
57,CONV-0058,unable to access email,Clear cache and remove unnecessary programs.,14 minutes,account,Resolved
58,CONV-0059,blue screen error,Verify your email settings.,109 minutes,network,Resolved after follow-up
59,CONV-0060,slow system performance,Clear cache and remove unnecessary programs.,29 minutes,performance,Resolved after follow-up
60,CONV-0061,forgot password,Follow the software installation guide.,33 minutes,hardware,Pending
61,CONV-0062,unable to access email,Follow the software installation guide.,56 minutes,software,Resolved after follow-up
62,CONV-0063,software installation failure,Verify your email settings.,7 minutes,performance,Resolved after follow-up
63,CONV-0064,slow system performance,Clear cache and remove unnecessary programs.,105 minutes,performance,Pending
64,CONV-0065,slow system performance,Reset your password using the link provided.,56 minutes,network,Resolved
